procs,N,execution_time,num_of_unique
40, 1, 0.054153, 1
40, 2, 0.057379, 3
40, 3, 0.058201, 6
40, 4, 0.054503, 9
40, 5, 0.060792, 14
40, 6, 0.055431, 18
40, 7, 0.055860, 25
40, 8, 0.054832, 30
40, 9, 0.053768, 36
40, 10, 0.055386, 42
40, 11, 0.056431, 53
40, 12, 0.054934, 59
40, 13, 0.055465, 72
40, 14, 0.056801, 80
40, 15, 0.060298, 89
40, 16, 0.056780, 97
40, 17, 0.056635, 114
40, 18, 0.055745, 123
40, 19, 0.054360, 142
40, 20, 0.053456, 152
40, 21, 0.061343, 164
40, 22, 0.053889, 176
40, 23, 0.057521, 199
40, 24, 0.056888, 209
40, 25, 0.061428, 225
40, 26, 0.055905, 239
40, 27, 0.057367, 254
40, 28, 0.054587, 267
40, 29, 0.060632, 296
40, 30, 0.061465, 308
40, 31, 0.057846, 339
40, 32, 0.060980, 354
40, 33, 0.057603, 372
40, 34, 0.058183, 390
40, 35, 0.063531, 410
40, 36, 0.078983, 423
40, 37, 0.060475, 460
40, 38, 0.057245, 480
40, 39, 0.054767, 501
40, 40, 0.054503, 517
40, 41, 0.056078, 558
40, 42, 0.056488, 575
40, 43, 0.056318, 618
40, 44, 0.056266, 638
40, 45, 0.057334, 659
40, 46, 0.054696, 683
40, 47, 0.055755, 730
40, 48, 0.055817, 747
40, 49, 0.058213, 778
40, 50, 0.054194, 800
40, 51, 0.057313, 827
40, 52, 0.059465, 850
40, 53, 0.055250, 903
40, 54, 0.056039, 925
40, 55, 0.056543, 956
40, 56, 0.056381, 978
40, 57, 0.055273, 1008
40, 58, 0.055861, 1038
40, 59, 0.056964, 1097
40, 60, 0.054984, 1116
40, 61, 0.061449, 1177
40, 62, 0.055966, 1209
40, 63, 0.060479, 1237
40, 64, 0.056775, 1263
40, 65, 0.054411, 1299
40, 66, 0.055699, 1325
40, 67, 0.056444, 1392
40, 68, 0.054910, 1422
40, 69, 0.055086, 1458
40, 70, 0.056079, 1484
40, 71, 0.056189, 1555
40, 72, 0.055227, 1578
40, 73, 0.056565, 1651
40, 74, 0.056005, 1689
40, 75, 0.059998, 1723
40, 76, 0.057396, 1756
40, 77, 0.055016, 1801
40, 78, 0.059602, 1832
40, 79, 0.055991, 1911
40, 80, 0.056174, 1939
40, 81, 0.056040, 1977
40, 82, 0.055017, 2019
40, 83, 0.055110, 2102
40, 84, 0.055602, 2131
40, 85, 0.054333, 2178
40, 86, 0.059251, 2222
40, 87, 0.058294, 2267
40, 88, 0.053986, 2301
40, 89, 0.054977, 2390
40, 90, 0.055281, 2418
40, 91, 0.055782, 2470
40, 92, 0.057370, 2510
40, 93, 0.056135, 2558
40, 94, 0.061877, 2606
40, 95, 0.065764, 2657
40, 96, 0.058191, 2687
40, 97, 0.059076, 2784
40, 98, 0.055999, 2825
40, 99, 0.061109, 2869
40, 100, 0.058332, 2906
40, 101, 0.057893, 3007
40, 102, 0.077123, 3046
40, 103, 0.056520, 3149
40, 104, 0.056213, 3189
40, 105, 0.060500, 3230
40, 106, 0.054581, 3284
40, 107, 0.055309, 3391
40, 108, 0.055877, 3425
40, 109, 0.055043, 3534
40, 110, 0.058817, 3577
40, 111, 0.057073, 3634
40, 112, 0.057436, 3675
40, 113, 0.056961, 3788
40, 114, 0.056428, 3832
40, 115, 0.055693, 3894
40, 116, 0.056392, 3944
40, 117, 0.059746, 3995
40, 118, 0.054826, 4055
40, 119, 0.056673, 4121
40, 120, 0.056989, 4155
40, 121, 0.055401, 4234
40, 122, 0.056528, 4296
40, 123, 0.054648, 4359
40, 124, 0.056413, 4412
40, 125, 0.055357, 4479
40, 126, 0.056872, 4519
40, 127, 0.061198, 4646
40, 128, 0.055311, 4695
40, 129, 0.057652, 4761
40, 130, 0.056497, 4809
40, 131, 0.056168, 4940
40, 132, 0.057270, 4981
40, 133, 0.055893, 5054
40, 134, 0.057704, 5122
40, 135, 0.056795, 5174
40, 136, 0.054930, 5225
40, 137, 0.056390, 5362
40, 138, 0.057566, 5415
40, 139, 0.059708, 5554
40, 140, 0.056522, 5600
40, 141, 0.056593, 5672
40, 142, 0.056118, 5744
40, 143, 0.055807, 5831
40, 144, 0.055336, 5871
40, 145, 0.055674, 5949
40, 146, 0.061380, 6023
40, 147, 0.056375, 6086
40, 148, 0.057149, 6149
40, 149, 0.056368, 6298
40, 150, 0.056649, 6343
40, 151, 0.060119, 6494
40, 152, 0.056379, 6551
40, 153, 0.057931, 6618
40, 154, 0.055788, 6673
40, 155, 0.055174, 6755
40, 156, 0.056549, 6805
40, 157, 0.056799, 6962
40, 158, 0.059019, 7042
40, 159, 0.056555, 7123
40, 160, 0.079903, 7174
40, 161, 0.077928, 7261
40, 162, 0.079522, 7317
40, 163, 0.056624, 7480
40, 164, 0.056920, 7550
40, 165, 0.059124, 7612
40, 166, 0.055617, 7696
40, 167, 0.057433, 7863
40, 168, 0.056229, 7909
40, 169, 0.056936, 8019
40, 170, 0.055781, 8082
40, 171, 0.059788, 8156
40, 172, 0.054750, 8229
40, 173, 0.054759, 8402
40, 174, 0.055223, 8468
40, 175, 0.056189, 8548
40, 176, 0.055401, 8608
40, 177, 0.056759, 8698
40, 178, 0.055909, 8788
40, 179, 0.057524, 8967
40, 180, 0.060455, 9014
40, 181, 0.054590, 9195
40, 182, 0.056620, 9262
40, 183, 0.060704, 9355
40, 184, 0.056090, 9423
40, 185, 0.058183, 9521
40, 186, 0.055455, 9591
40, 187, 0.056254, 9701
40, 188, 0.056899, 9781
40, 189, 0.058024, 9852
40, 190, 0.059050, 9923
40, 191, 0.056592, 10114
40, 192, 0.056425, 10170
40, 193, 0.060538, 10363
40, 194, 0.075829, 10461
40, 195, 0.056941, 10536
40, 196, 0.055599, 10607
40, 197, 0.057723, 10804
40, 198, 0.062050, 10868
40, 199, 0.056498, 11067
40, 200, 0.055160, 11131
40, 201, 0.055971, 11233
40, 202, 0.057738, 11335
40, 203, 0.056569, 11446
40, 204, 0.055352, 11510
40, 205, 0.059490, 11619
40, 206, 0.056124, 11723
40, 207, 0.056802, 11812
40, 208, 0.056692, 11882
40, 209, 0.055802, 12002
40, 210, 0.056350, 12059
40, 211, 0.055343, 12270
40, 212, 0.056139, 12360
40, 213, 0.059636, 12468
40, 214, 0.055275, 12576
40, 215, 0.055276, 12689
40, 216, 0.059945, 12748
40, 217, 0.060969, 12866
40, 218, 0.059842, 12976
40, 219, 0.054988, 13087
40, 220, 0.056869, 13159
40, 221, 0.056837, 13293
40, 222, 0.054843, 13376
